edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:4:w12:padded_benes_16x16_s4_w8_12.drop->padded_benes_16x16_s5_w12_14.in:w12,input:w12->padded_benes_16x16_s0_w12_13.in,interstage,padded_benes_16x16_s4_w8_12.drop,12,False,padded_benes_16x16_s5_w12_14.in,12,False,4,5
stage:4:w13:padded_benes_16x16_s4_w9_13.drop->padded_benes_16x16_s5_w13_15.in:w13,input:w13->padded_benes_16x16_s0_w12_13.add,interstage,padded_benes_16x16_s4_w9_13.drop,13,False,padded_benes_16x16_s5_w13_15.in,13,False,4,5
stage:4:w14:padded_benes_16x16_s4_w10_14.drop->padded_benes_16x16_s5_w12_14.add:w14,input:w14->padded_benes_16x16_s0_w14_15.in,interstage,padded_benes_16x16_s4_w10_14.drop,14,False,padded_benes_16x16_s5_w12_14.add,14,False,4,5
stage:4:w15:padded_benes_16x16_s4_w11_15.drop->padded_benes_16x16_s5_w13_15.add:w15,input:w15->padded_benes_16x16_s0_w14_15.add,interstage,padded_benes_16x16_s4_w11_15.drop,15,False,padded_benes_16x16_s5_w13_15.add,15,False,4,5
stage:5:w0:padded_benes_16x16_s5_w0_2.th->padded_benes_16x16_s6_w0_1.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s5_w0_2.th,0,False,padded_benes_16x16_s6_w0_1.in,0,False,5,6
stage:5:w1:padded_benes_16x16_s5_w1_3.th->padded_benes_16x16_s6_w0_1.add:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s5_w1_3.th,1,False,padded_benes_16x16_s6_w0_1.add,1,False,5,6
stage:5:w2:padded_benes_16x16_s5_w0_2.drop->padded_benes_16x16_s6_w2_3.in:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s5_w0_2.drop,2,False,padded_benes_16x16_s6_w2_3.in,2,False,5,6
stage:5:w3:padded_benes_16x16_s5_w1_3.drop->padded_benes_16x16_s6_w2_3.add:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s5_w1_3.drop,3,False,padded_benes_16x16_s6_w2_3.add,3,False,5,6
stage:5:w4:padded_benes_16x16_s5_w4_6.th->padded_benes_16x16_s6_w4_5.in:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s5_w4_6.th,4,False,padded_benes_16x16_s6_w4_5.in,4,False,5,6
stage:5:w5:padded_benes_16x16_s5_w5_7.th->padded_benes_16x16_s6_w4_5.add:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s5_w5_7.th,5,False,padded_benes_16x16_s6_w4_5.add,5,False,5,6
stage:5:w6:padded_benes_16x16_s5_w4_6.drop->padded_benes_16x16_s6_w6_7.in:w6,input:w6->padded_benes_16x16_s0_w6_7.in,interstage,padded_benes_16x16_s5_w4_6.drop,6,False,padded_benes_16x16_s6_w6_7.in,6,False,5,6
stage:5:w7:padded_benes_16x16_s5_w5_7.drop->padded_benes_16x16_s6_w6_7.add:w7,input:w7->padded_benes_16x16_s0_w6_7.add,interstage,padded_benes_16x16_s5_w5_7.drop,7,False,padded_benes_16x16_s6_w6_7.add,7,False,5,6
stage:5:w8:padded_benes_16x16_s5_w8_10.th->padded_benes_16x16_s6_w8_9.in:w8,input:w8->padded_benes_16x16_s0_w8_9.in,interstage,padded_benes_16x16_s5_w8_10.th,8,False,padded_benes_16x16_s6_w8_9.in,8,False,5,6
stage:5:w9:padded_benes_16x16_s5_w9_11.th->padded_benes_16x16_s6_w8_9.add:w9,input:w9->padded_benes_16x16_s0_w8_9.add,interstage,padded_benes_16x16_s5_w9_11.th,9,False,padded_benes_16x16_s6_w8_9.add,9,False,5,6
stage:5:w10:padded_benes_16x16_s5_w8_10.drop->padded_benes_16x16_s6_w10_11.in:w10,input:w10->padded_benes_16x16_s0_w10_11.in,interstage,padded_benes_16x16_s5_w8_10.drop,10,False,padded_benes_16x16_s6_w10_11.in,10,False,5,6
